id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,notes,cost-basis-in-pennies,quantity,date-entered,folder
887119,Centiskorch V #33,Pokemon Darkness Ablaze,176,Ungraded,Normal wear,,,0,1,2025-02-26,
8321543,Houndoom [Master Ball] #63,Pokemon Prismatic Evolutions,1857,Ungraded,Normal wear,,,0,1,2025-02-26,
4637082,Riolu #GG26,Pokemon Crown Zenith,325,Ungraded,Normal wear,,,0,1,2025-02-26,
836902,Lucario V #27,Pokemon Champion's Path,259,Ungraded,Normal wear,,,0,1,2025-02-26,
4637126,Arceus VSTAR #GG70,Pokemon Crown Zenith,12625,Ungraded,Normal wear,,,0,1,2025-02-26,
4277326,Furisode Girl #205,Pokemon Silver Tempest,641,Ungraded,Normal wear,,,0,1,2025-02-26,
8321631,Groudon [Poke Ball] #49,Pokemon Prismatic Evolutions,224,Ungraded,Normal wear,,,0,1,2025-02-26,
4637098,Zeraora VMAX #GG42,Pokemon Crown Zenith,850,Ungraded,Normal wear,,,0,1,2025-02-26,
1341731,Ditto VMAX #SV119,Pokemon Shining Fates,650,Ungraded,Normal wear,,,0,1,2025-02-26,
807318,Zacian V #138,Pokemon Sword & Shield,192,Ungraded,Normal wear,,,0,1,2025-02-26,
7800227,Shiinotic #194,Pokemon Surging Sparks,487,Ungraded,Normal wear,,,0,1,2025-02-26,
4933987,Fidough #213,Pokemon Scarlet & Violet,1175,Ungraded,Normal wear,,,0,1,2025-02-26,
1341594,Morpeko #SV044,Pokemon Shining Fates,398,Ungraded,Normal wear,,,0,1,2025-02-26,
2513011,Raihan #202,Pokemon Evolving Skies,537,Ungraded,Normal wear,,,0,1,2025-02-26,
2253918,Metagross VMAX #113,Pokemon Chilling Reign,241,Ungraded,Normal wear,,,0,1,2025-02-26,
6277102,Weavile #183,Pokemon Paldean Fates,347,Ungraded,Normal wear,,,0,1,2025-02-26,
5287490,Fuecoco #201,Pokemon Paldea Evolved,2709,Ungraded,Normal wear,,,0,1,2025-02-26,
1341633,Impidimp #SV083,Pokemon Shining Fates,364,Ungraded,Normal wear,,,0,1,2025-02-26,
7800224,Enriching Energy #191,Pokemon Surging Sparks,154,Ungraded,Normal wear,,,0,1,2025-02-26,
3667047,Candela #83,Pokemon Go,823,Ungraded,Normal wear,,,0,1,2025-02-26,
2771283,Greedent V #257,Pokemon Fusion Strike,858,Ungraded,Normal wear,,,0,1,2025-02-26,
1673349,Rapid Strike Urshifu VMAX #169,Pokemon Battle Styles,995,Ungraded,Normal wear,,,0,1,2025-02-26,
3489715,Trekking Shoes #215,Pokemon Astral Radiance,672,Ungraded,Normal wear,,,0,1,2025-02-26,
2253968,Ice Rider Calyrex V #164,Pokemon Chilling Reign,1995,Ungraded,Normal wear,,,0,1,2025-02-26,
8321512,Slowking [Master Ball] #19,Pokemon Prismatic Evolutions,1032,Ungraded,Normal wear,,,0,1,2025-02-26,
5287502,Gothorita #213,Pokemon Paldea Evolved,519,Ungraded,Normal wear,,,0,1,2025-02-26,
2290836,Torkoal V #188,Pokemon Sword & Shield,300,Ungraded,Normal wear,,,0,1,2025-02-26,
6775701,Timburr #183,Pokemon Twilight Masquerade,552,Ungraded,Normal wear,,,0,1,2025-02-26,
1341641,Copperajah #SV091,Pokemon Shining Fates,199,Ungraded,Normal wear,,,0,1,2025-02-26,
1341556,Rillaboom #SV006,Pokemon Shining Fates,299,Ungraded,Normal wear,,,0,1,2025-02-26,
4934031,Lightning Energy #257,Pokemon Scarlet & Violet,699,Ungraded,Normal wear,,,0,1,2025-02-26,
7800235,Stunfisk #202,Pokemon Surging Sparks,285,Ungraded,Normal wear,,,0,1,2025-02-26,
1341650,Greedent #SV100,Pokemon Shining Fates,268,Ungraded,Normal wear,,,0,1,2025-02-26,
887724,Orbeetle VMAX #186,Pokemon Vivid Voltage,600,Ungraded,Normal wear,,,0,1,2025-02-26,
8244589,Flareon ex #146,Pokemon Prismatic Evolutions,28223,Ungraded,Normal wear,,,0,1,2025-02-26,
4277116,Sordward & Shielbert #TG28,Pokemon Silver Tempest,299,Ungraded,Normal wear,,,0,1,2025-02-26,
1341645,Ducklett #SV095,Pokemon Shining Fates,296,Ungraded,Normal wear,,,0,1,2025-02-26,
2290660,Indeedee V #192,Pokemon Sword & Shield,228,Ungraded,Normal wear,,,0,1,2025-02-26,
4933989,Riolu #215,Pokemon Scarlet & Violet,2500,Ungraded,Normal wear,,,0,1,2025-02-26,
6277082,Rabsca #163,Pokemon Paldean Fates,282,Ungraded,Normal wear,,,0,1,2025-02-26,
5953065,Hoopa ex #226,Pokemon Paradox Rift,413,Ungraded,Normal wear,,,0,1,2025-02-26,
4636962,Hatterene VMAX #66,Pokemon Crown Zenith,198,Ungraded,Normal wear,,,0,1,2025-02-26,
1673327,Tapu Koko V #147,Pokemon Battle Styles,395,Ungraded,Normal wear,,,0,1,2025-02-26,
4637090,Mareep #GG34,Pokemon Crown Zenith,309,Ungraded,Normal wear,,,0,1,2025-02-26,
887262,Galarian Stunfisk V #184,Pokemon Darkness Ablaze,289,Ungraded,Normal wear,,,0,1,2025-02-26,
887496,Drednaw V #69,Pokemon Champion's Path,226,Ungraded,Normal wear,,,0,1,2025-02-26,
2336173,Team Yell Grunt #210,Pokemon Sword & Shield,324,Ungraded,Normal wear,,,0,1,2025-02-26,
3188242,Charizard V #17,Pokemon Brilliant Stars,462,Ungraded,Normal wear,,,0,1,2025-02-26,
4637123,Origin Forme Palkia VSTAR #GG67,Pokemon Crown Zenith,8938,Ungraded,Normal wear,,,0,1,2025-02-26,
2253998,Klara #194,Pokemon Chilling Reign,1483,Ungraded,Normal wear,,,0,1,2025-02-26,
5809561,Omanyte #180,Pokemon Scarlet & Violet 151,1029,Ungraded,Normal wear,,,0,1,2025-02-26,
3188397,Arceus VSTAR #184,Pokemon Brilliant Stars,1208,Ungraded,Normal wear,,,0,1,2025-02-26,
5287534,Copperajah ex #245,Pokemon Paldea Evolved,235,Ungraded,Normal wear,,,0,1,2025-02-26,
5287564,Ting-Lu ex #275,Pokemon Paldea Evolved,429,Ungraded,Normal wear,,,0,1,2025-02-26,
5952936,Hoopa ex #98,Pokemon Paradox Rift,185,Ungraded,Normal wear,,,0,1,2025-02-26,
2253852,Ice Rider Calyrex VMAX #46,Pokemon Chilling Reign,225,Ungraded,Normal wear,,,0,1,2025-02-26,
836655,Grimmsnarl V #114,Pokemon Darkness Ablaze,181,Ungraded,Normal wear,,,0,1,2025-02-26,
6775693,Froslass #174,Pokemon Twilight Masquerade,741,Ungraded,Normal wear,,,0,1,2025-02-26,
8244501,Cornerstone Mask Ogerpon ex #58,Pokemon Prismatic Evolutions,194,Ungraded,Normal wear,,,0,1,2025-02-26,
4934022,Iron Treads ex #248,Pokemon Scarlet & Violet,450,Ungraded,Normal wear,,,0,1,2025-02-26,
1673360,Exp. Share #180,Pokemon Battle Styles,500,Ungraded,Normal wear,,,0,1,2025-02-26,
3508401,Mightyena #TG09,Pokemon Astral Radiance,212,Ungraded,Normal wear,,,0,1,2025-02-26,
1341597,Galarian Ponyta #SV047,Pokemon Shining Fates,536,Ungraded,Normal wear,,,0,1,2025-02-26,
6495634,Excadrill #174,Pokemon Temporal Forces,616,Ungraded,Normal wear,,,0,1,2025-02-26,
4933985,Ralts #211,Pokemon Scarlet & Violet,3355,Ungraded,Normal wear,,,0,1,2025-02-26,
3667043,Mewtwo VSTAR #79,Pokemon Go,3272,Ungraded,Normal wear,,,0,1,2025-02-26,
7800175,Tatsugiri ex #142,Pokemon Surging Sparks,169,Ungraded,Normal wear,,,0,1,2025-02-26,
8244455,Teal Mask Ogerpon ex #12,Pokemon Prismatic Evolutions,330,Ungraded,Normal wear,,,0,1,2025-02-26,
3216300,Cheren's Care #177,Pokemon Brilliant Stars,300,Ungraded,Normal wear,,,0,1,2025-02-26,
7108756,Basic Metal Energy #99,Pokemon Shrouded Fable,2572,Ungraded,Normal wear,,,0,1,2025-02-26,
842114,Jirachi #119,Pokemon Vivid Voltage,267,Ungraded,Normal wear,,,0,1,2025-02-26,
4277106,Corviknight V #TG18,Pokemon Silver Tempest,600,Ungraded,Normal wear,,,0,1,2025-02-26,
5287549,Quaquaval ex #260,Pokemon Paldea Evolved,1070,Ungraded,Normal wear,,,0,1,2025-02-26,
3489669,Jirachi V #170,Pokemon Astral Radiance,644,Ungraded,Normal wear,,,0,1,2025-02-26,
6277022,Arboliva #104,Pokemon Paldean Fates,321,Ungraded,Normal wear,,,0,1,2025-02-26,
8321682,Larry's Skill [Poke Ball] #115,Pokemon Prismatic Evolutions,201,Ungraded,Normal wear,,,0,1,2025-02-26,
887268,Butterfree VMAX #190,Pokemon Darkness Ablaze,999,Ungraded,Normal wear,,,0,1,2025-02-26,
7418619,Deluxe Bomb #134,Pokemon Stellar Crown,145,Ungraded,Normal wear,,,0,1,2025-02-26,
2771108,Inteleon VMAX #79,Pokemon Fusion Strike,248,Ungraded,Normal wear,,,0,1,2025-02-26,
8321611,Goldeen [Poke Ball] #20,Pokemon Prismatic Evolutions,175,Ungraded,Normal wear,,,0,1,2025-02-26,
6277109,Grafaiai #190,Pokemon Paldean Fates,376,Ungraded,Normal wear,,,0,1,2025-02-26,
1673357,Single Strike Style Mustard #177,Pokemon Battle Styles,399,Ungraded,Normal wear,,,0,1,2025-02-26,
8244620,Teal Mask Ogerpon ex #177,Pokemon Prismatic Evolutions,1781,Ungraded,Normal wear,,,0,1,2025-02-26,
6769574,Scream Tail ex #94,Pokemon Twilight Masquerade,149,Ungraded,Normal wear,,,0,1,2025-02-26,
4934028,Koraidon ex #254,Pokemon Scarlet & Violet,696,Ungraded,Normal wear,,,0,1,2025-02-26,
2512869,Dracozolt V #58,Pokemon Evolving Skies,177,Ungraded,Normal wear,,,0,1,2025-02-26,
1673359,Houndoom #179,Pokemon Battle Styles,1782,Ungraded,Normal wear,,,0,1,2025-02-26,
7108744,Colress's Tenacity #87,Pokemon Shrouded Fable,499,Ungraded,Normal wear,,,0,1,2025-02-26,
3489707,Zisu #207,Pokemon Astral Radiance,432,Ungraded,Normal wear,,,0,1,2025-02-26,
4049974,Magnezone VSTAR #57,Pokemon Lost Origin,128,Ungraded,Normal wear,,,0,1,2025-02-26,
4637062,Manaphy #GG06,Pokemon Crown Zenith,418,Ungraded,Normal wear,,,0,1,2025-02-26,
4636998,Rayquaza VMAX #102,Pokemon Crown Zenith,412,Ungraded,Normal wear,,,0,1,2025-02-26,
5605726,Pidgeotto #208,Pokemon Obsidian Flames,791,Ungraded,Normal wear,,,0,1,2025-02-26,
7800269,Durant ex #236,Pokemon Surging Sparks,3016,Ungraded,Normal wear,,,0,1,2025-02-26,
4934006,Toxicroak ex #232,Pokemon Scarlet & Violet,284,Ungraded,Normal wear,,,0,1,2025-02-26,
807163,Lapras Vmax #50,Pokemon Sword & Shield,368,Ungraded,Normal wear,,,0,1,2025-02-26,
7108740,Munkidori ex #83,Pokemon Shrouded Fable,419,Ungraded,Normal wear,,,0,1,2025-02-26,
3489714,Temple of Sinnoh #214,Pokemon Astral Radiance,897,Ungraded,Normal wear,,,0,1,2025-02-26,
887723,Pokemon Center Lady #185,Pokemon Vivid Voltage,1219,Ungraded,Normal wear,,,0,1,2025-02-26,
8244600,Iron Valiant ex #157,Pokemon Prismatic Evolutions,5943,Ungraded,Normal wear,,,0,1,2025-02-26,
6277072,Ralts #153,Pokemon Paldean Fates,700,Ungraded,Normal wear,,,0,1,2025-02-26,
7418655,Terapagos ex #170,Pokemon Stellar Crown,7494,Ungraded,Normal wear,,,0,1,2025-02-26,
2771282,Greedent V #256,Pokemon Fusion Strike,264,Ungraded,Normal wear,,,0,1,2025-02-26,
2253969,Zeraora V #165,Pokemon Chilling Reign,671,Ungraded,Normal wear,,,0,1,2025-02-26,
7800238,Phanpy #205,Pokemon Surging Sparks,909,Ungraded,Normal wear,,,0,1,2025-02-26,
5605584,Tyranitar ex #66,Pokemon Obsidian Flames,180,Ungraded,Normal wear,,,0,1,2025-02-26,
5809457,Golem ex #76,Pokemon Scarlet & Violet 151,151,Ungraded,Normal wear,,,0,1,2025-02-26,
6775715,Greninja ex #198,Pokemon Twilight Masquerade,855,Ungraded,Normal wear,,,0,1,2025-02-26,
7800245,Slakoth #212,Pokemon Surging Sparks,1635,Ungraded,Normal wear,,,0,1,2025-02-26,
5953063,Cofagrigus ex #224,Pokemon Paradox Rift,347,Ungraded,Normal wear,,,0,1,2025-02-26,
5953039,Minior #201,Pokemon Paradox Rift,1299,Ungraded,Normal wear,,,0,1,2025-02-26,
3489585,Kleavor V #87,Pokemon Astral Radiance,141,Ungraded,Normal wear,,,0,1,2025-02-26,
887266,Pokemon Breeder's Nurturing #188,Pokemon Darkness Ablaze,214,Ungraded,Normal wear,,,0,1,2025-02-26,
6277068,Kadabra #149,Pokemon Paldean Fates,572,Ungraded,Normal wear,,,0,1,2025-02-26,
7418659,Area Zero Underdepths #174,Pokemon Stellar Crown,1375,Ungraded,Normal wear,,,0,1,2025-02-26,
4277325,Candice #204,Pokemon Silver Tempest,597,Ungraded,Normal wear,,,0,1,2025-02-26,
1341630,Galarian Obstagoon #SV080,Pokemon Shining Fates,299,Ungraded,Normal wear,,,0,1,2025-02-26,
3216318,Oranguru #TG12,Pokemon Brilliant Stars,199,Ungraded,Normal wear,,,0,1,2025-02-26,
6277119,Dodrio #200,Pokemon Paldean Fates,349,Ungraded,Normal wear,,,0,1,2025-02-26,
3216309,Ultra Ball #186,Pokemon Brilliant Stars,2299,Ungraded,Normal wear,,,0,1,2025-02-26,
8329889,Briar [Poke Ball] #100,Pokemon Prismatic Evolutions,125,Ungraded,Normal wear,,,0,1,2025-02-26,
2771295,Mew VMAX #269,Pokemon Fusion Strike,15750,Ungraded,Normal wear,,,0,1,2025-02-26,
4277249,Magearna V #128,Pokemon Silver Tempest,145,Ungraded,Normal wear,,,0,1,2025-02-26,
8321652,Noctowl [Poke Ball] #78,Pokemon Prismatic Evolutions,185,Ungraded,Normal wear,,,0,1,2025-02-26,
842110,Steelix V #115,Pokemon Vivid Voltage,180,Ungraded,Normal wear,,,0,1,2025-02-26,
5287568,Basic Water Energy #279,Pokemon Paldea Evolved,637,Ungraded,Normal wear,,,0,1,2025-02-26,
6277043,Palafin #124,Pokemon Paldean Fates,310,Ungraded,Normal wear,,,0,1,2025-02-26,
2771291,Chandelure VMAX #265,Pokemon Fusion Strike,675,Ungraded,Normal wear,,,0,1,2025-02-26,
5809580,Bill's Transfer #194,Pokemon Scarlet & Violet 151,499,Ungraded,Normal wear,,,0,1,2025-02-26,
4050096,Aerodactyl V #179,Pokemon Lost Origin,369,Ungraded,Normal wear,,,0,1,2025-02-26,
8321597,Exeggcute [Poke Ball] #1,Pokemon Prismatic Evolutions,199,Ungraded,Normal wear,,,0,1,2025-02-26,
8244591,Hearthflame Mask Ogerpon ex #148,Pokemon Prismatic Evolutions,2770,Ungraded,Normal wear,,,0,1,2025-02-26,
887274,Rose #196,Pokemon Darkness Ablaze,399,Ungraded,Normal wear,,,0,1,2025-02-26,
1673326,Empoleon V #146,Pokemon Battle Styles,4368,Ungraded,Normal wear,,,0,1,2025-02-26,
4277110,Blissey V #TG22,Pokemon Silver Tempest,850,Ungraded,Normal wear,,,0,1,2025-02-26,
6769503,Sinistcha ex #23,Pokemon Twilight Masquerade,153,Ungraded,Normal wear,,,0,1,2025-02-26,
4080761,Spiritomb #TG09,Pokemon Lost Origin,235,Ungraded,Normal wear,,,0,1,2025-02-26,
1341651,Rookidee #SV101,Pokemon Shining Fates,280,Ungraded,Normal wear,,,0,1,2025-02-26,
3188312,Honchkrow V #88,Pokemon Brilliant Stars,133,Ungraded,Normal wear,,,0,1,2025-02-26,
7108745,Janine's Secret Art #88,Pokemon Shrouded Fable,375,Ungraded,Normal wear,,,0,1,2025-02-26,
2771050,Tsareena V #21,Pokemon Fusion Strike,159,Ungraded,Normal wear,,,0,1,2025-02-26,
836353,Copperajah VMAX #137,Pokemon Rebel Clash,306,Ungraded,Normal wear,,,0,1,2025-02-26,
5953066,Toxtricity ex #227,Pokemon Paradox Rift,329,Ungraded,Normal wear,,,0,1,2025-02-26,
5605740,Eiscue ex #222,Pokemon Obsidian Flames,521,Ungraded,Normal wear,,,0,1,2025-02-26,
5605724,Varoom #206,Pokemon Obsidian Flames,290,Ungraded,Normal wear,,,0,1,2025-02-26,
5605741,Charizard ex #223,Pokemon Obsidian Flames,7351,Ungraded,Normal wear,,,0,1,2025-02-26,
8321645,Heatran [Poke Ball] #68,Pokemon Prismatic Evolutions,199,Ungraded,Normal wear,,,0,1,2025-02-26,
6495677,Iron Crown ex #216,Pokemon Temporal Forces,982,Ungraded,Normal wear,,,0,1,2025-02-26,
4277153,Alolan Vulpix VSTAR #34,Pokemon Silver Tempest,261,Ungraded,Normal wear,,,0,1,2025-02-26,
8321638,Umbreon [Poke Ball] #59,Pokemon Prismatic Evolutions,1995,Ungraded,Normal wear,,,0,1,2025-02-26,
5810595,Golem ex #189,Pokemon Scarlet & Violet 151,899,Ungraded,Normal wear,,,0,1,2025-02-26,
7800231,Feebas #198,Pokemon Surging Sparks,1348,Ungraded,Normal wear,,,0,1,2025-02-26,
4933821,Gyarados ex #45,Pokemon Scarlet & Violet,219,Ungraded,Normal wear,,,0,1,2025-02-26,
5287527,Slowking ex #238,Pokemon Paldea Evolved,425,Ungraded,Normal wear,,,0,1,2025-02-26,
6277033,Armarouge #115,Pokemon Paldean Fates,449,Ungraded,Normal wear,,,0,1,2025-02-26,
5287487,Bramblin #198,Pokemon Paldea Evolved,630,Ungraded,Normal wear,,,0,1,2025-02-26,
1341590,Boltund #SV040,Pokemon Shining Fates,314,Ungraded,Normal wear,,,0,1,2025-02-26,
887259,Rhyperior V #181,Pokemon Darkness Ablaze,322,Ungraded,Normal wear,,,0,1,2025-02-26,
6495472,Torterra ex #12,Pokemon Temporal Forces,190,Ungraded,Normal wear,,,0,1,2025-02-26,
3188378,Charizard V #154,Pokemon Brilliant Stars,18090,Ungraded,Normal wear,,,0,1,2025-02-26,
8244587,Leafeon ex #144,Pokemon Prismatic Evolutions,34052,Ungraded,Normal wear,,,0,1,2025-02-26,
887474,Duraludon V #47,Pokemon Champion's Path,179,Ungraded,Normal wear,,,0,1,2025-02-26,
4080757,Pikachu #TG05,Pokemon Lost Origin,1752,Ungraded,Normal wear,,,0,1,2025-02-26,
887708,Galarian Darmanitan V #169,Pokemon Vivid Voltage,314,Ungraded,Normal wear,,,0,1,2025-02-26,
4637068,Deoxys #GG12,Pokemon Crown Zenith,570,Ungraded,Normal wear,,,0,1,2025-02-26,
4277097,Druddigon #TG09,Pokemon Silver Tempest,180,Ungraded,Normal wear,,,0,1,2025-02-26,
6495667,Iron Boulder ex #207,Pokemon Temporal Forces,2148,Ungraded,Normal wear,,,0,1,2025-02-26,
3188238,Shaymin V #13,Pokemon Brilliant Stars,169,Ungraded,Normal wear,,,0,1,2025-02-26,
8321555,Dunsparce [Master Ball] #79,Pokemon Prismatic Evolutions,585,Ungraded,Normal wear,,,0,1,2025-02-26,
8321688,Professor Turo's Scenario [Poke Ball] #121,Pokemon Prismatic Evolutions,241,Ungraded,Normal wear,,,0,1,2025-02-26,
2771310,Fire Energy #284,Pokemon Fusion Strike,678,Ungraded,Normal wear,,,0,1,2025-02-26,
3489703,Grant #203,Pokemon Astral Radiance,400,Ungraded,Normal wear,,,0,1,2025-02-26,
7108725,Duskull #68,Pokemon Shrouded Fable,3972,Ungraded,Normal wear,,,0,1,2025-02-26,
2771107,Inteleon V #78,Pokemon Fusion Strike,188,Ungraded,Normal wear,,,0,1,2025-02-26,
7800109,Latias ex #76,Pokemon Surging Sparks,222,Ungraded,Normal wear,,,0,1,2025-02-26,
1341629,Galarian Linoone #SV079,Pokemon Shining Fates,303,Ungraded,Normal wear,,,0,1,2025-02-26,
6277093,Lucario #174,Pokemon Paldean Fates,801,Ungraded,Normal wear,,,0,1,2025-02-26,
3508418,Melony #TG26,Pokemon Astral Radiance,494,Ungraded,Normal wear,,,0,1,2025-02-26,
3188377,Charizard V #153,Pokemon Brilliant Stars,1999,Ungraded,Normal wear,,,0,1,2025-02-26,
1341561,Eldegoss #SV011,Pokemon Shining Fates,346,Ungraded,Normal wear,,,0,1,2025-02-26,
5953031,Plusle #193,Pokemon Paradox Rift,2043,Ungraded,Normal wear,,,0,1,2025-02-26,
3188389,Arceus V #165,Pokemon Brilliant Stars,650,Ungraded,Normal wear,,,0,1,2025-02-26,
3508409,Shadow Rider Calyrex V #TG17,Pokemon Astral Radiance,799,Ungraded,Normal wear,,,0,1,2025-02-26,
1673267,Rapid Strike Urshifu V #87,Pokemon Battle Styles,160,Ungraded,Normal wear,,,0,1,2025-02-26,
5287520,Meowscarada ex #231,Pokemon Paldea Evolved,293,Ungraded,Normal wear,,,0,1,2025-02-26,
8244460,Hearthflame Mask Ogerpon ex #17,Pokemon Prismatic Evolutions,191,Ungraded,Normal wear,,,0,1,2025-02-26,
4933979,Clauncher #205,Pokemon Scarlet & Violet,500,Ungraded,Normal wear,,,0,1,2025-02-26,
6495656,Raging Bolt ex #196,Pokemon Temporal Forces,699,Ungraded,Normal wear,,,0,1,2025-02-26,
887730,Bea #193,Pokemon Vivid Voltage,777,Ungraded,Normal wear,,,0,1,2025-02-26,
2254001,Peony #197,Pokemon Chilling Reign,399,Ungraded,Normal wear,,,0,1,2025-02-26,
5287556,Giacomo #267,Pokemon Paldea Evolved,517,Ungraded,Normal wear,,,0,1,2025-02-26,
887446,Drednaw V #14,Pokemon Champion's Path,161,Ungraded,Normal wear,,,0,1,2025-02-26,
8329890,Buddy-Buddy Poffin [Poke Ball] #101,Pokemon Prismatic Evolutions,350,Ungraded,Normal wear,,,0,1,2025-02-26,
4277294,Alolan Vulpix V #173,Pokemon Silver Tempest,519,Ungraded,Normal wear,,,0,1,2025-02-26,
5287510,Paldean Wooper #221,Pokemon Paldea Evolved,921,Ungraded,Normal wear,,,0,1,2025-02-26,
4277317,Serperior VSTAR #196,Pokemon Silver Tempest,682,Ungraded,Normal wear,,,0,1,2025-02-26,
4050054,Pidgeot V #137,Pokemon Lost Origin,168,Ungraded,Normal wear,,,0,1,2025-02-26,
5953034,Joltik #196,Pokemon Paradox Rift,825,Ungraded,Normal wear,,,0,1,2025-02-26,
4050092,Magnezone V #175,Pokemon Lost Origin,259,Ungraded,Normal wear,,,0,1,2025-02-26,
7418642,Cinderace ex #157,Pokemon Stellar Crown,451,Ungraded,Normal wear,,,0,1,2025-02-26,
2771302,Schoolboy #276,Pokemon Fusion Strike,400,Ungraded,Normal wear,,,0,1,2025-02-26,
3508416,Allister #TG24,Pokemon Astral Radiance,437,Ungraded,Normal wear,,,0,1,2025-02-26,
5952895,Mewtwo ex #58,Pokemon Paradox Rift,325,Ungraded,Normal wear,,,0,1,2025-02-26,
3667049,Spark #85,Pokemon Go,900,Ungraded,Normal wear,,,0,1,2025-02-26,
4050120,Hisuian Zoroark VSTAR #203,Pokemon Lost Origin,594,Ungraded,Normal wear,,,0,1,2025-02-26,
4637103,Hatterene VMAX #GG47,Pokemon Crown Zenith,562,Ungraded,Normal wear,,,0,1,2025-02-26,
6277029,Paldean Tauros #111,Pokemon Paldean Fates,389,Ungraded,Normal wear,,,0,1,2025-02-26,
7418526,Greninja ex #41,Pokemon Stellar Crown,187,Ungraded,Normal wear,,,0,1,2025-02-26,
5287550,Chien-Pao ex #261,Pokemon Paldea Evolved,2128,Ungraded,Normal wear,,,0,1,2025-02-26,
887155,Mew V #69,Pokemon Darkness Ablaze,300,Ungraded,Normal wear,,,0,1,2025-02-26,
2254028,Snorlax #224,Pokemon Chilling Reign,7560,Ungraded,Normal wear,,,0,1,2025-02-26,
2512841,Vaporeon VMAX #30,Pokemon Evolving Skies,667,Ungraded,Normal wear,,,0,1,2025-02-26,
4636991,Zacian V #95,Pokemon Crown Zenith,182,Ungraded,Normal wear,,,0,1,2025-02-26,
8321533,Groudon [Master Ball] #49,Pokemon Prismatic Evolutions,2141,Ungraded,Normal wear,,,0,1,2025-02-26,
886879,Dubwool V #153,Pokemon Rebel Clash,167,Ungraded,Normal wear,,,0,1,2025-02-26,
6495652,Iron Boulder ex #192,Pokemon Temporal Forces,250,Ungraded,Normal wear,,,0,1,2025-02-26,
8321656,Buneary [Poke Ball] #83,Pokemon Prismatic Evolutions,183,Ungraded,Normal wear,,,0,1,2025-02-26,
5287493,Marill #204,Pokemon Paldea Evolved,3775,Ungraded,Normal wear,,,0,1,2025-02-26,
2253965,Blaziken V #161,Pokemon Chilling Reign,663,Ungraded,Normal wear,,,0,1,2025-02-26,
2771299,Chili & Cilan & Cress #273,Pokemon Fusion Strike,491,Ungraded,Normal wear,,,0,1,2025-02-26,
1341579,Drednaw #SV029,Pokemon Shining Fates,294,Ungraded,Normal wear,,,0,1,2025-02-26,
3216306,Galarian Articuno V #181,Pokemon Brilliant Stars,1039,Ungraded,Normal wear,,,0,1,2025-02-26,
3216327,Mustard #TG28,Pokemon Brilliant Stars,301,Ungraded,Normal wear,,,0,1,2025-02-26,
1673322,Kricketune V #142,Pokemon Battle Styles,299,Ungraded,Normal wear,,,0,1,2025-02-26,
3667051,Egg Incubator #87,Pokemon Go,511,Ungraded,Normal wear,,,0,1,2025-02-26,
1341598,Galarian Rapidash #SV048,Pokemon Shining Fates,599,Ungraded,Normal wear,,,0,1,2025-02-26,
